41,2016-2017,Fall,5,27/10/2016,2016,Geography 2: CartoDB,Tom Elliott,"Institute for the Study of the Ancient World, New York University",,,,,,,,,,,,,maps and mapping,geography,linked open data,visualisation,,,
42,2016-2017,Fall,6,03/11/2016,2016,Geography 3: GIS,Leif Isaksen,Lancaster University,,,,,,,,,,,,,maps and mapping,visualisation,,,,,
43,2016-2017,Fall,7,10/11/2016,2016,Ontologies and Data Modelling,Arianna Ciula,Roehampton University,Charlotte Tupman,University of Exeter,,,,,,,,,,,linked open data,encoding,standards,data mining,,,
44,2016-2017,Fall,8,17/11/2016,2016,Data Structuring and Querying,Tom Elliott,"Institute for the Study of the Ancient World, New York University",Sebastian Heath,"Institute for the Study of the Ancient World,New York University",,,,,,,,,,,database,XML-TEI,encoding,,,,
45,2016-2017,Fall,9,24/11/2016,2016,Data Visualization,Jonathan Blaney,Institute of Historical Research,Sarah Milligan,Institute of Historical Research,Jane Winters,School of Advanced Study,,,,,,,,,visualisation,data mining,,,,,
46,2016-2017,Fall,10,01/12/2016,2016,Network Analysis,Silke Vanbeselaere,Katholieke Universiteit Leuven,Greg Woolf,"Institute of Classical Studies,London",,,,,,,,,,,visualisation,prosopography,data mining,,,,
47,2016-2017,Fall,11,08/12/2016,2016,Crowdsourcing Heritage and Conservation,John Pearce,King's College London,,,,,,,,,,,,,data mining,crowdsourcing,linked open data,,,,
48,2016-2017,Fall,12,15/12/2016,2016,Historical sources,Monica Berti,University of Leipzig,,,,,,,,,,,,,digital archives and library,text mining,,,,,
49,2016-2017,Spring,1,26/01/2017,2017,Geo-annotation,Chiara Palladino,University of Leipzig / University of Bari,Valeria Vitale,King's College London,,,,,,,,,,,geography,annotation,maps and mapping,,,,
50,2016-2017,Spring,2,02/02/2017,2017,Encoding of ancient texts,Gabriel Bodard,"Institute of Classical Studies,London",Simona Stoyanova,"King's College London",,,,,,,,,,,encoding,text mining,annotation,,,,
51,2016-2017,Spring,3,09/02/2017,2017,Annotating treebanks,Polina Yordanova,University of Sofia,Marja Vierros,University of Helsinki,,,,,,,,,,,annotation,encoding,treebank,,,,
52,2016-2017,Spring,4,16/02/2017,2017,Querying treebanks / INESS / Regex,Dag Haug,University of Oslo,,,,,,,,,,,,,treebank,data mining,,,,,
53,2016-2017,Spring,5,23/02/2017,2017,Querying treebanks / XML / XQuery / XPath,Giuseppe Celano,University of Leipzig,,,,,,,,,,,,,treebank,data mining,XML-TEI,,,,
54,2016-2017,Spring,6,02/03/2017,2017,"Translation alignment: Herodotus in Greek, English and Arabic",Usama Gad,"Ain Shams University,Cairo",,,,,,,,,,,,,translation,annotation,,,,,
55,2016-2017,Spring,7,09/03/2017,2017,Prosopography,Rada Varga,"Babeș-Bolyai University, Cluj-Napoca",Gabriel Bodard,"Institute of Classical Studies,London",,,,,,,,,,,prosopography,annotation,named entities,data mining,,,
56,2016-2017,Spring,8,16/03/2017,2017,Computational Morphology,Dag Haug,University of Oslo,Barbara McGillivray,Alan Turing Institute / University of Cambridge,,,,,,,,,,,text encoding,annotation,treebank,,,,
57,2016-2017,Spring,9,23/03/2017,2017,Named entity extraction I,Matteo Romanello,"Deutsches Archäologisches Institut, Berlin",Francesco Mambrini,"Deutsches Archäologisches Institut,Berlin",,,,,,,,,,,named entities,text mining,data mining,,,,
58,2016-2017,Spring,10,30/03/2017,2017,Developing linguistic metrics for the analysis of Ancient Greek,Eleni Bozia,University of Florida,Anise D'Orange Ferreira,Universidade Estadual Paulista,,,,,,,,,,,annotation,text mining,treebank,,,,
59,2016-2017,Spring,11,06/04/2017,2017,Reading Herodotus in Tbilisi,Levan Gordeziani,"Tbilisi State University, Georgia",,,,,,,,,,,,,translation,,,,,,
60,2016-2017,Spring,12,13/04/2017,2017,Reading Herodotus in Tehran,Arash Keramati,University of Tehran,Maryam Foradi,University of Tehran,,,,,,,,,,,translation,text mining,,,,,
61,2016-2017,Spring,13,20/04/2017,2017,Named entity extraction II,Matteo Romanello,"Deutsches Archäologisches Institut, Berlin",Francesco Mambrini,"Deutsches Archäologisches Institut,Berlin",,,,,,,,,,,named entities,data mining,treebank,,,,
62,2016-2017,Spring,14,27/04/2017,2017,Digital Mycenology,Federico Aurora,University of Oslo,,,,,,,,,,,,,digital archives and library,epigraphy,,,,,
63,2016-2017,Spring,15,11/05/2017,2017,Digital Papyrology: documentary papyri,Nadine Quenouille,University of Leipzig,Gabriel Bodard,"Institute of Classical Studies,London",Lucia Vannini,"Institute of Classical Studies,London",,,,,,,,,paleography,manuscript,digital archives and library,,,,
64,2016-2017,Spring,16,18/05/2017,2017,Digital Papyrology: literary and paraliterary texts and linguistic annotation of documentary papyri,Marja Vierros,University of Parma / University of Trier,Nicola Reggiani,University of Helsinki,Lucia Vannini,"Institute of Classical Studies,London",,,,,,,,,annotation,manuscript,objects and artefacts,epigraphy,,,
65,2016-2017,Spring,17,25/05/2017,2017,Translation Alignment: Possibilities of Language Learning and Vocabulary Training,Maryam Foradi,University of Leipzig,Farnoosh Shamsian,University of Tehran,,,,,,,,,,,translation,treebank,,,,,
66,2016-2017,Spring,18,01/06/2017,2017,Digital Egyptology,Franziska Naether,University of Leipzig,,,,,,,,,,,,,manuscript,encoding,standards,,,,
67,2016-2017,Spring,19,08/06/2017,2017,Annotating people and places in Aristophanes and Ovid using Recogito,Neven Jovanović,University of Zagreb,,,,,,,,,,,,,annotation,named entities,prosopography,geography,text analysis,,
68,2016-2017,Spring,20,15/06/2017,2017,Annotating and representing ancient lexicographical texts and similes,Stylianos Chronopoulos,University of Freiburg,,,,,,,,,,,,,annotation,visualisation,XML-TEI,text encoding,standards,,
69,2016-2017,Spring,21,23/06/2017,2017,Historical GIS of South-Estern Europe - Joint session with the Digital Classicist Seminar London,Dimitar Illiev,University of Sofia,Maria Baramova,University of Sofia,Grigor Boykov,University of Sofia,,,,,,,,,data mining,visualisation,maps and mapping,linked open data,,,
70,2016-2017,Spring,22,29/06/2017,2017,Reading and visualizing geo-annotated data,Chiara Palladino,University of Leipzig / University of Bari,Valeria Vitale,"Institute of Classical Studies,London",Marcel Mernitz,University of Leipzig,,,,,,,,,visualisation,maps and mapping,data mining,linked open data,,,
71,2016-2017,Spring,23,06/07/2017,2017,Topic modelling of morphologically complex languages,Thomas Köntges,University of Leipzig,,,,,,,,,,,,,treebank,teaching and pedagogy,topic modeling,,,,
72,2017-2018,Fall,1,14/09/2017,2017,"Overview, cultural heritage and digital humanities",Gabriel Bodard,University of London,Tom Elliott,"Institute for the Study of the Ancient World,New York University",Simona Stoyanova,University of London,Rada Varga,"Babeș-Bolyai University,Cluj-Napoca",,,,,,,digital methods,cultural studies,,,,,
73,2017-2018,Fall,2,21/09/2017,2017,Crowdsourcing archaeological data: Portable antiquities scheme,John Pearce,King's College London,,,,,,,,,,,,,crowdsourcing,archaeology,data mining,linked open data,database,,
74,2017-2018,Fall,3,05/10/2017,2017,Geographic annotation and visualisation,Paula Granados García,Open University,Valeria Vitale,University of London,,,,,,,,,,,geography,annotation,visualisation,linked open data,annotation,,
75,2017-2018,Fall,4,12/10/2017,2017,Geographic Information Systems I: encoding geographic data,Paula Granados García,Open University,Valeria Vitale,University of London,,,,,,,,,,,encoding,maps and mapping,visualisation,data mining,geography,,
76,2017-2018,Fall,5,19/10/2017,2017,Geographic Information Systems II: interpreting geographic data,Chiara Palladino,University of Leipzig / University of Bari,Tom Elliott,"Institute for the Study of the Ancient World,New York University",,,,,,,,,,,data mining,text mining,visualisation,maps and mapping,geography,,
77,2017-2018,Fall,6,26/10/2017,2017,"Structuring, querying and visualising data",Gabriel Bodard,University of London,Tom Elliott,"Institute for the Study of the Ancient World,New York University",Rada Varga,"Babeș-Bolyai University,Cluj-Napoca",,,,,,,,,visualisation,data mining,standards,,,,
78,2017-2018,Fall,7,02/11/2017,2017,Data transformation with python and regular expressions,Matteo Romanello,"Deutsches Archäologisches Institut, Berlin / École polytechnique fédérale de Lausanne",Simona Stoyanova,University of London,,,,,,,,,,,data mining,database,,,,,
79,2017-2018,Fall,8,09/11/2017,2017,Linking text and image,Charlotte Roueché,King's College London,Simona Stoyanova,University of London,Gabriel Bodard,University of London,,,,,,,,,linked open data,visualisation,digital edition,annotation,encoding,,
80,2017-2018,Fall,9,16/11/2017,2017,Prosopography and linked person-data,Gabriel Bodard,University of London,Rada Varga,"Babeș-Bolyai University,Cluj-Napoca",,,,,,,,,,,prosopography,linked open data,database,data mining,,,
