host;guest
Gabriel Bodard;Graeme Earl,Sven Gronemeyer,Valeria Vitale
Rada Varga;Graeme Earl,Tom Flynn,Valeria Vitale
Gabriel Bodard;Philip Carter,Tyler Jo Smith
Rada Varga;Yanne Broux,Ryan Horne
Gabriel Bodard;Valeria Vitale,Matthew Nicholls,Tom Flynn
Gabriel Bodard;Maryam Foradi,Tariq Yousef,Saman Rezaie,
Gabriel Bodard;Gabriel Bodard,Emma Bridges,Lucia Vannini
Gabriel Bodard;Monica Berti,Gabriel Bodard,Martina Filosa
Gabriel Bodard;Monica Berti,Gabriel Bodard
Gabriel Bodard;Gabriel Bodard,Simona Stoyanova,Lucia Vannini
Monica Berti;Marja Vierros,Polina Yordanova
Gabriel Bodard;Dag Haug,Francesco Mambrini
Gabriel Bodard;Francesco Mambrini,Simona Stoyanova
Monica Berti;Barbara McGillivray,Matteo Romanello
Monica Berti;Hugh Cayless,Valeria Vitale
Monica Berti;Patrick J. Burns
Monica Berti;James Tauber 
Monica Berti;Eleni Bozia,Anise D'Orange Ferreira
cancelled;cancelled
Monica Berti;Rada Varga,Gabriel Bodard
Monica Berti;Eleni Bozia,Angelos Barmpoutis
Monica Berti;Neven Jovanović,Mia Stubičar,Ana Vragolović
Monica Berti;Maryam Foradi,Arash Keramati,Farnoosh Shamsian
Monica Berti;Nicola Reggiani,Marja Vierros
Monica Berti;Valeria Vitale
Monica Berti;Miriam Amin,Monica Berti,Josephine Hensel,Franziska Naether
Valeria Vitale;Jeffrey Becker,Ruth Mostern,Valeria Vitale
Valeria Vitale;Elton Barker,Gethin Rees,Valeria Vitale
Valeria Vitale;Gabriel Bodard,Valeria Vitale
Valeria Vitale;Leonard Bruckner,Adina Puscasu,Chris Donaldson
Valeria Vitale;Elisa Bonacini,Emma Bridges,Humphrey Southall	
Valeria Vitale;Gabriel Bodard,Valeria Vitale,Hugh Cayless,Tom Elliott,Andrew Meadows,Jonathan Prag,Charlotte Tupman
Valeria Vitale;Thomas Flynn,Rachel Opitz,Valeria Vitale
Valeria Vitale;Tom Brughmans
Valeria Vitale;Gabriel Bodard,Emma Payne,Andrea Wallace
Marja Vierros;Gabriel Bodard,Elli Mylonas
Gabriel Bodard;Helma Dik,Bridget Almas,Marja Vierros
Marja Vierros;Antonis Hadjikyriacou,Sinai Rusinek,Valeria Vitale
Gabriel Bodard;Jen Baird,Gabriel Bodard
Gabriel Bodard;Marja Vierros,Polina Yordanova