n_total,season,n_in_season,date,title,themes_1,themes_2,themes_3,discipline_1,discipline_2,method_1,method_2,class outline
97,Spring-Summer,12,26/04/2018,The Scaife Digital Library Viewer,,,,digital humanities,,teaching,data mapping,https://github.com/SunoikisisDC/SunoikisisDC-2018-2019/wiki/Session-3.-3D-imaging-and-printing:-documenting-and-reproducing-cultural-heritage-artefacts
98,Spring-Summer,13,03/05/2018,Linguistic Annotation,,,,linguistics,digital humanities,annotating,teaching,https://github.com/SunoikisisDC/SunoikisisDC-2017-2018/wiki/Linguistic-Annotation
99,Spring-Summer,14,17/05/2018,Geo-Annotation,,,,geography,digital humanities,annotating,georeferencing,
100,Spring-Summer,15,24/05/2018,Digital Prosopography,,,,prosopography,digital humanities,teaching,,https://github.com/SunoikisisDC/SunoikisisDC-2017-2018/wiki/Digital-Prosopography
101,Spring-Summer,16,31/05/2018,Programming Through Latin,translation,NLP,,digital humanities,pedagogy,programming,teaching,https://github.com/SunoikisisDC/SunoikisisDC-2017-2018/wiki/Programming-Through-Latin
102,Spring-Summer,17,07/06/2018,Mastering Sanskrit and Latin words and phrases with Bhagavad Gita as a digital corpus,translation,treebank,digital philology,pedagogy,philology,concordancing,teaching,https://github.com/SunoikisisDC/SunoikisisDC-2017-2018/wiki/Mastering-Greek-Latin-words-phrases
103,Spring-Summer,18,14/06/2018,Open Persian,translation,treebank,teaching and pedagogy,linguistics,pedagogy,tree-tagging,teaching,https://github.com/SunoikisisDC/SunoikisisDC-2017-2018/wiki/Open-Persian
104,Spring-Summer,19,21/06/2018,Digital Papyrology,manuscript,encoding,papyrology,papyrology,digital humanities,encoding,tagging,https://github.com/SunoikisisDC/SunoikisisDC-2017-2018/wiki/Digital-Papyrology
105,Spring-Summer,20,28/06/2018,3D Modelling,digitisation,visualisation,archaeology,archaeology,digital humanities,photogrammetry,3D modeling,https://github.com/SunoikisisDC/SunoikisisDC-2017-2018/wiki/3D-Modelling
106,Spring-Summer,21,05/07/2018,The Digital Rosetta Stone Project,standards,encoding,archaeology,philology,digital humanities,encoding,translating,https://github.com/SunoikisisDC/SunoikisisDC-2017-2018/wiki/Digital-Rosetta-Stone
107,Fall,1,03/10/2018,Historical Digital Gazetteers,linked open data,maps and mapping,visualisation,geography,history,georefencing,mapping,https://github.com/SunoikisisDC/SunoikisisDC-2018-2019/wiki/Session-1.-Historical-Digital-Gazetteers
108,Fall,2,11/10/2018,Creating and visualising geo-annotations,annotation,maps and mapping,visualisation,geography,philology,named entity recognition,georeferencing,https://github.com/SunoikisisDC/SunoikisisDC-2018-2019/wiki/Session-2.-Creating-and-visualising-geo-annotations
109,Fall,3,18/10/2018,3D Imaging and Printing: documenting and reproducing cultural heritage artefacts,digitisation,visualisation,archaeology,archaeology,cultural heritage,photogrammetry,modeling,https://github.com/SunoikisisDC/SunoikisisDC-2018-2019/wiki/Session-3.-3D-imaging-and-printing:-documenting-and-reproducing-cultural-heritage-artefacts
110,Fall,4,25/10/2018,Geographic Information System: querying geo-data,database,visualisation,geography,geography,archaeology,spatial analysis,mapping,https://github.com/SunoikisisDC/SunoikisisDC-2018-2019/wiki/Session-4.-Geographic-Information-System:-querying-geo-data
111,Fall,5,01/11/2018,Digital Cultural Heritage and Public Engagement,crowdsourcing,copyright license and open access,digital methods,cultural heritage,digital humanities,crowdsourcing,publishing,https://github.com/SunoikisisDC/SunoikisisDC-2018-2019/wiki/Session-5.-Digital-Cultural-Heritage-and-Public-Engagement
112,Fall,6,08/11/2018,Linked Open Data for Cultural Heritage,linked open data,standards,cultural studies,cultural heritage,digital humanities,linked open data,standardizing,https://github.com/SunoikisisDC/SunoikisisDC-2018-2019/wiki/Session-6.-Linked-Open-Data-for-Cultural-Heritage
113,Fall,7,15/11/2018,3D Modelling and Texturing,digitisation,visualisation,archaeology,archaeology,digital humanities,3D modeling,visualization,https://github.com/SunoikisisDC/SunoikisisDC-2018-2019/wiki/Session-7.-3D-modelling-and-texturing
114,Fall,8,22/11/2018,Network Analysis,data analysis,visualisation,named entities,history,digital humanities,network analysis,data visualisation,https://github.com/SunoikisisDC/SunoikisisDC-2018-2019/wiki/Session-8.-Network-Analysis
115,Fall,9,29/11/2018,Copyright and Open Access for Digital Cultural Heritage,copyright license and open access,linked open data,cultural studies,cultural heritage,digital humanities,preservation,sharing,https://github.com/SunoikisisDC/SunoikisisDC-2018-2019/wiki/Session-9.-Copyright-and-Open-Access-for-Digital-Cultural-Heritage
116,Spring,1,10/01/2019,Epigraphic markup: Leiden to EpiDoc,annotation,encoding,archaeology,epigraphy,philology,encoding,tagging,https://github.com/SunoikisisDC/SunoikisisDC-2018-2019/wiki/ICS02:-1.-Epigraphic-Markup
117,Spring,2,17/01/2019,Using online linguistic tools: dictionaries and text corpora,text mining,data mining,digitalisation,philology,linguistics,searching,concordancing,https://github.com/SunoikisisDC/SunoikisisDC-2018-2019/wiki/ICS02:-2.-Using-online-linguistic-tools
118,Spring,3,24/01/2019,Geographic annotation of text,visualisation,annotation,geography,geography,philology,named entity recognition,georeferencing,https://github.com/SunoikisisDC/SunoikisisDC-2018-2019/wiki/ICS02:-3.-Geographic-annotation
119,Spring,4,31/01/2019,Linking and annotating secondary materials: case study of Wood Diaries and Palmyra,linked open data,annotation,geography,history,geography,annotating,linked open data,https://github.com/SunoikisisDC/SunoikisisDC-2018-2019/wiki/ICS02:-4.-Annotating-secondary-materials
120,Spring,5,07/02/2019,Introduction to Treebanking,treebank,annotation,text encoding,linguistics,philology,tree-tagging,pos tagging,https://github.com/SunoikisisDC/SunoikisisDC-2018-2019/wiki/ICS02:-5.-Introduction-to-Treebanking
121,Spring,6,14/02/2019,Translation alignment and language pedagogy,translation,treebank,annotation,linguistics,pedagogy,alignment,teaching,https://github.com/SunoikisisDC/SunoikisisDC-2018-2019/wiki/ICS02:-6.-Translation-alignment
122,Spring,7,21/02/2019,Using treebanked corpora: Universal Dependencies,treebank,annotation,digitalisation,linguistics,digital humanities,searching,data mining,https://github.com/SunoikisisDC/SunoikisisDC-2018-2019/wiki/ICS02:-7.-Using-Treebanks
123,Spring,8,28/02/2019,Introduction to programming through R,data mining,annotation,programming,digital humanities,pedagogy,programming,teaching,https://github.com/SunoikisisDC/SunoikisisDC-2018-2019/wiki/ICS02:-8.-Introduction-to-R
124,Spring,9,07/03/2019,Digital methods in ancient palaeography,text analysis,digital methods,paleography,philology,digital humanities,multispectral imaging,analyzing,https://github.com/SunoikisisDC/SunoikisisDC-2018-2019/wiki/ICS02:-9.-Digital-palaeography
125,Spring,10,14/03/2019,"Text analysis, stylometry, visualisation using R",text analysis,text mining,visualisation,philology,digital humanities,stylometry,data visualisation,https://github.com/SunoikisisDC/SunoikisisDC-2018-2019/wiki/ICS02:-10.-Text-analysis-with-R
126,Summer,1,04/04/2019,Introduction to SunoikisisDC Summer 2019,,,,,,,,https://github.com/SunoikisisDC/SunoikisisDC-2018-2019/wiki/Summer2019-Session1
127,Summer,2,11/04/2019,Digital Philology,encoding,annotation,digital philology,philology,digital humanities,encoding,editing,https://github.com/SunoikisisDC/SunoikisisDC-2018-2019/wiki/Summer2019-Session2
128,Summer,3,18/04/2019,"Digital Scholarly Edition: Needs, Experiences, Possibilities",scholarly editing,text encoding,digital philology,philology,digital humanities,editing,theorizing,https://github.com/SunoikisisDC/SunoikisisDC-2018-2019/wiki/Summer2019-Session3
129,Summer,5,02/05/2019,Programming for Humanists,digital methods,encoding,digital philology,digital humanities,pedagogy,programming,teaching,https://github.com/SunoikisisDC/SunoikisisDC-2018-2019/wiki/Summer2019-Session5
130,Summer,6,09/05/2019,"Stylometric Analysis of Greek, Using Vocabulary, Grammar, and Syntax",text analysis,treebank,visualisation,philology,linguistics,stylometry,structural analysis,https://github.com/SunoikisisDC/SunoikisisDC-2018-2019/wiki/Summer2019-Session6
131,Summer,7,16/05/2019,Servius: An Object-Oriented Approach,encoding,standards,annotation,philology,digital humanities,linked open data,modeling,https://github.com/SunoikisisDC/SunoikisisDC-2018-2019/wiki/Summer2019-Session7
132,Summer,8,23/05/2019,Peripleo and Linked Open Data (OAD) for Archaeology,linked open data,database,data mining,archaeology,geography,georefencing,mapping,https://github.com/SunoikisisDC/SunoikisisDC-2018-2019/wiki/Summer2019-Session8
133,Summer,10,06/06/2019,Digital Representations of Ancient Dates,named entities,encoding,archaeology,history,digital humanities,encoding,standardizing,https://github.com/SunoikisisDC/SunoikisisDC-2018-2019/wiki/Summer2019-Session10
134,Summer,11,13/06/2019,From Annotated Text to Vocabulary Exercises,annotation,data mining,text mining,linguistics,pedagogy,content analysis,teaching,https://github.com/SunoikisisDC/SunoikisisDC-2018-2019/wiki/Summer2019-Session11
135,Summer,12,20/06/2019,Digital Methods and Ancient Magic,digitisation,translation,encoding,archaeology,epigraphy,encoding,annotating,https://github.com/SunoikisisDC/SunoikisisDC-2018-2019/wiki/Summer2019-Session12
136,Summer,13,27/06/2019,"Diverse Comparative Studies and the Digital Classicist Work: Greek/grc, Portuguese/por and Brazilian Sign Language/bzs",text analysis,translation,digital philology,linguistics,philology,alignment,translating,https://github.com/SunoikisisDC/SunoikisisDC-2018-2019/wiki/Summer2019-Session13
137,Summer,14,04/07/2019,The Scaife Viewer Reading Environment,visualisation,digital archives and library,digitalisation,philology,digital humanities,designing,searching,https://github.com/SunoikisisDC/SunoikisisDC-2018-2019/wiki/Summer2019-Session14
138,Summer,15,11/07/2019,The Coptic Scriptorium Project,digital methods,encoding,digital philology,philology,linguistics,encoding,pos-tagging,https://github.com/SunoikisisDC/SunoikisisDC-2018-2019/wiki/Summer2019-Session15
139,Fall,1,03/10/2019,Digital Images and Photography,digitisation,linked open data,photography,cultural heritage,digital humanities,imaging,organizing,https://github.com/SunoikisisDC/SunoikisisDC-2019-2020/wiki/DCH-Session-1-Images
140,Fall,2,10/10/2019,3D Imaging and Photogrammetry,digitisation,metadata,photography,archaeology,digital humanities,imaging,modeling,https://github.com/SunoikisisDC/SunoikisisDC-2019-2020/wiki/DCH-Session-2-3D-Imaging
141,Fall,3,17/10/2019,Decolonization of Cultural Heritage,digital methods,standards,cultural studies,cultural heritage,history,contextualizing,theorizing,https://github.com/SunoikisisDC/SunoikisisDC-2019-2020/wiki/DCH-Session-3-Decolonization
142,Fall,4,24/10/2019,3D Modelling for Cultural Heritage,digitisation,standards,cultural studies,archaeology,cultural heritage,modeling,visualization,https://github.com/SunoikisisDC/SunoikisisDC-2019-2020/wiki/DCH-Session-4-3D-Modelling
143,Fall,5,31/10/2019,Digital Gazetteers,linked open data,visualisation,geography,geography,history,georefencing,mapping,https://github.com/SunoikisisDC/SunoikisisDC-2019-2020/wiki/DCH-Session-5-Gazetteers
144,Fall,6,07/11/2019,Linked Open Data,linked open data,standards,database,digital humanities,cultural heritage,linked open data,modeling,https://github.com/SunoikisisDC/SunoikisisDC-2019-2020/wiki/DCH-Session-6-Linked-Open-Data
145,Fall,7,14/11/2019,Legal and Ethical Considerations,copyright license and open access,linked open data,ethics,cultural heritage,digital humanities,theorizing,preserving,https://github.com/SunoikisisDC/SunoikisisDC-2019-2020/wiki/DCH-Session-7-Legal-and-Ethical
146,Fall,8,21/11/2019,GIS and Geovisualization,digital methods,encoding,geography,geography,digital humanities,spatial analysis,mapping,https://github.com/SunoikisisDC/SunoikisisDC-2019-2020/wiki/DCH-Session-8-GIS-and-Geovisualization
147,Fall,9,28/11/2019,Crowdsourcing Cultural Heritage,linked open data,digital archives and library,crowdsourcing,cultural heritage,history,crowdsourcing,publishing,https://github.com/SunoikisisDC/SunoikisisDC-2019-2020/wiki/DCH-Session-9-Crowdsourcing
148,Spring,1,16/01/2020,Basic tools,digital methods,copyright license and open access,,,,,,https://github.com/SunoikisisDC/SunoikisisDC-2019-2020/wiki/DC-Session-1-Basic-Tools
149,Spring,2,23/01/2020,Wikimedia sites for research,linked open data,database,research process,digital humanities,history,data mining,publishing,https://github.com/SunoikisisDC/SunoikisisDC-2019-2020/wiki/DC-Session-2-Wikimedia
150,Spring,3,30/01/2020,EpiDoc 1: intro to markup,epigraphy,manuscript,encoding,epigraphy,digital humanities,encoding,annotating,https://github.com/SunoikisisDC/SunoikisisDC-2019-2020/wiki/DC-Session-3-EpiDoc-1
151,Spring,4,06/02/2020,Introduction to Python,digital methods,data mining,encoding,digital humanities,pedagogy,programming,teaching,https://github.com/SunoikisisDC/SunoikisisDC-2019-2020/wiki/DC-Session-4-Python
152,Spring,5,13/02/2020,EpiDoc 2: publishing,text encoding,visualisation,digital edition,epigraphy,digital humanities,encoding,publishing,https://github.com/SunoikisisDC/SunoikisisDC-2019-2020/wiki/DC-Session-5-EpiDoc-2
153,Spring,6,20/02/2020,Treebanking 1: morphosyntactic annotation,annotation,treebank,encoding,linguistics,philology,pos tagging,structural analysis,https://github.com/SunoikisisDC/SunoikisisDC-2019-2020/wiki/DC-Session-6-Treebanking-1
154,Spring,7,27/02/2020,Translation alignment,translation,encoding,database,linguistics,philology,alignment,translation,https://github.com/SunoikisisDC/SunoikisisDC-2019-2020/wiki/DC-Session-7-Translation-alignment
155,Spring,8,05/03/2020,Treebanking 2: querying treebanks,annotation,treebank,text mining,linguistics,digital humanities,searching,data mining,https://github.com/SunoikisisDC/SunoikisisDC-2019-2020/wiki/DC-Session-8-Treebanking-2
156,Spring,9,12/03/2020,Data Visualisation,text analysis,data analysis,visualisation,digital humanities,philology,visualization,structural analysis,https://github.com/SunoikisisDC/SunoikisisDC-2019-2020/wiki/DC-Session-9-Visualisation
157,Summer,1,09/04/2020,Introduction to SunikisisDC,,,,,,,,https://github.com/SunoikisisDC/SunoikisisDC-2019-2020/wiki/Summer2020-Session-1
158,Summer,2,16/04/2020,Digital Classics in Teaching: Before and Now,teaching and pedagogy,digital methods,,pedagogy,digital humanities,theorizing,teaching,https://github.com/SunoikisisDC/SunoikisisDC-2019-2020/wiki/Summer-2020-Session-2
159,Summer,3,23/04/2020,Text-Bearing Objects 1,encoding,archaeology,,archaeology,epigraphy,imaging,encoding,https://github.com/SunoikisisDC/SunoikisisDC-2019-2020/wiki/Summer2020-Session-3
160,Summer,4,30/04/2020,Text-Bearing Objects 2,archaeology,visualisation,database,archaeology,epigraphy,modeling,visualization,https://github.com/SunoikisisDC/SunoikisisDC-2019-2020/wiki/Summer2020-Session-4
161,Summer,5,07/05/2020,Open Access for Digital Classics,linked open data,teaching and pedagogy,digital archives and library,cultural heritage,digital humanities,sharing,publishing,https://github.com/SunoikisisDC/SunoikisisDC-2019-2020/wiki/Summer2020-Session-5
162,Summer,6,14/05/2020,"Digital classics and learning Greek in Iran,",teaching and pedagogy,translation,digital methods,linguistics,pedagogy,translation,teaching,https://github.com/SunoikisisDC/SunoikisisDC-2019-2020/wiki/Summer2020-Session-6
163,Summer,7,28/05/2020,Named Entities Recognition and Annotation for Ancient Greek,annotation,visualisation,text analysis,philology,linguistics,tagging,text mining,https://github.com/SunoikisisDC/SunoikisisDC-2019-2020/wiki/Summer2020-Session-8
164,Summer,8,04/06/2020,"Making CTS and its application with Greek, Portuguese, and English alignments on Ducat (Daughter of Ugarit Citation Alignment Tool)",translation,visualisation,text analysis,philology,digital humanities,alignment,encoding,https://github.com/SunoikisisDC/SunoikisisDC-2019-2020/wiki/Summer2020-Session-9
165,Summer,9,11/06/2020,Cylleneus: Next-gen corpus search for ancient languages,text mining,text analysis,database,philology,linguistics,searching,data mining,https://github.com/SunoikisisDC/SunoikisisDC-2019-2020/wiki/Summer2020-Session-10
166,Summer,10,18/06/2020,Textual Analysis,text analysis,visualisation,digital methods,philology,digital humanities,content analysis,visualization,https://github.com/SunoikisisDC/SunoikisisDC-2019-2020/wiki/Summer2020-Session-11
167,Summer,11,25/06/2020,Programming for Humanists,digital methods,translation,,digital humanities,pedagogy,programming,teaching,https://github.com/SunoikisisDC/SunoikisisDC-2019-2020/wiki/Summer2020-Session-12
168,Summer,12,02/07/2020,Romans 1 by 1: Classical Prosopography using relational and graph based approaches,prosopography,database,linked open data,history,digital humanities,relational analysis,modeling,https://github.com/SunoikisisDC/SunoikisisDC-2019-2020/wiki/Summer2020-Session-13
169,Summer,13,08/07/2020,Virtual Rome: A Digital Model of the Ancient City,digitisation,visualisation,digital methods,archaeology,geography,modeling,visualization,https://github.com/SunoikisisDC/SunoikisisDC-2019-2020/wiki/Summer2020-Session-14
170,Summer,14,22/07/2020,"Digitisation, Intellectual Property, and Restitution: Exploring (more) equitable approaches to [digital] cultural heritage management",copyright license and open access,digital methods,cultural studies,cultural heritage,history,theorizing,contextualizing,https://github.com/SunoikisisDC/SunoikisisDC-2019-2020/wiki/Summer2020-Session-15
171,Fall,1,08/10/2020,"Open Source software, commandline and Git",linked open data,copyright license and open access,digital archives and library,digital humanities,pedagogy,programming,archiving,https://github.com/SunoikisisDC/SunoikisisDC-2020-2021/wiki/1-Open-Source-Commandline-Git
172,Fall,2,15/10/2020,Introduction to Markup,annotation,XML-TEI,digital methods,philology,digital humanities,encoding,annotation,
173,Fall,3,19/10/2020,EpiDoc XML,XML-TEI,annotation,epigraphy,epigraphy,digital humanities,encoding,tagging,https://github.com/SunoikisisDC/SunoikisisDC-2020-2021/wiki/3-EpiDoc
174,Fall,4,29/10/2020,Introduction to Computational Linguistics,epigraphy,annotation,text analysis,linguistics,digital humanities,content analysis,programming,https://github.com/SunoikisisDC/SunoikisisDC-2020-2021/wiki/4-Computational-Linguistics
175,Fall,5,05/11/2020,Web Annotation,annotation,linked open data,text encoding,digital humanities,pedagogy,annotation,linked data,https://github.com/SunoikisisDC/SunoikisisDC-2020-2021/wiki/5-Web-Annotation
176,Fall,6,12/11/2020,Research with Wikimedia Commons,linked open data,database,,cultural heritage,history,searching,publishing,https://github.com/SunoikisisDC/SunoikisisDC-2020-2021/wiki/6-Wikimedia-Commons
177,Fall,7,19/11/2020,Using Treebanks,treebank,annotation,text analysis,linguistics,philology,structural analysis,data mining,https://github.com/SunoikisisDC/SunoikisisDC-2020-2021/wiki/7-Using-Treebanks
178,Fall,8,26/11/2020,Translation Technologies,translation,text analysis,visualisation,linguistics,philology,translation,alignment,https://github.com/SunoikisisDC/SunoikisisDC-2020-2021/wiki/8-Translation-Technologies
179,Fall,9,03/12/2020,Visualisation,treebank,text analysis,visualisation,digital humanities,linguistics,visualization,structural analysis,https://github.com/SunoikisisDC/SunoikisisDC-2020-2021/wiki/9-Visualisation
180,Spring,1,21/01/2021,3D imaging and scanning,digitisation,visualisation,objects and artefacts,archaeology,digital humanities,imaging,modeling,https://github.com/SunoikisisDC/SunoikisisDC-2020-2021/wiki/CH1-3D-Imaging
181,Spring,2,28/01/2021,Community Mapping,maps and mapping,sentiment analysis,linked open data,geography,cultural heritage,crowdsourcing,mapping,https://github.com/SunoikisisDC/SunoikisisDC-2020-2021/wiki/CH2-Community-Mapping
182,Spring,3,04/02/2021,Wikipedia and cultural knowledge production,linked open data,standards,cultural studies,cultural heritage,history,writing,publishing,https://github.com/SunoikisisDC/SunoikisisDC-2020-2021/wiki/CH3-Knowledge-Production
183,Spring,4,11/02/2021,Linked geographical data and web-mapping,linked open data,geography,visualisation,geography,digital humanities,linked data,mapping,https://github.com/SunoikisisDC/SunoikisisDC-2020-2021/wiki/CH4-Linked-Geodata
